Year,Budget,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
2021,5543607.28,36117.91,0.0,61363.26,79492.32,68923.26,145493.03,151269.99
2021,4010862.85,36761.9,314080.58,117615.96,117499.59,66187.8,338380.25,204105.51
,23310314.04,395648.0,82368.0,116672.0,87484.43,270656.0,291136.0,347955.2
,12408080.25,245700.0,31500.0,81900.0,44100.0,81900.0,119700.0,119700.0
2020,11842000.0,215000.0,45000.0,80000.0,43000.0,65044.47,106000.0,125000.0
2020,52921088.86,0.0,126497.89,250699.3,200831.47,284726.55,550572.22,358055.48
2020,46778280.56,173157.08,133292.25,281449.35,480870.0,386608.95,622296.68,811977.08
2024,38606000.0,70051.97,252159.01,259437.09,495310.73,289309.62,299166.84,817641.15
2024,15435664.91,122000.0,109800.0,183000.0,91500.0,42700.0,61000.0,244000.0
2024,28962172.55,59730.39,210577.73,250959.21,257196.28,136339.28,152848.29,403740.23
2024,14859476.05,196997.36,41444.01,106135.63,39531.77,93413.77,157249.11,354306.58
2024,15500399.65,69526.28,91079.1,114809.63,125153.69,121502.85,141986.04,140429.63
2024,5850335.9,0.0,38000.0,82000.0,73700.0,22910.14,14740.55,47300.0
2024,18740697.35,0.0,14757.63,67622.95,61782.63,39505.81,155534.25,84253.5
2024,10979055.79,50239.31,19282.91,49989.06,175665.76,100599.58,182096.88,244664.01
2024,39696137.55,348033.95,211638.95,204027.66,128459.06,247144.5,384609.61,309351.25
2024,39759647.0,0.0,243000.0,690000.0,230000.0,140000.0,370000.0,456000.0
2024,14604194.55,0.0,68142.0,73405.0,393316.62,165602.0,529954.0,314594.0
2024,15514088.25,449728.5,217209.98,363846.6,226285.8,305929.0,467519.0,370693.7
2024,15514440.95,129277.27,107817.23,261527.92,106259.43,90235.52,105878.07,142605.74
2024,9611535.48,0.0,91657.0,98020.44,142612.0,0.0,252096.0,277548.0
2024,9651558.77,0.0,28843.82,44506.0,34454.95,0.0,41947.5,36336.65
2024,9687517.65,0.0,18494.04,58865.63,41888.44,0.0,52893.75,83094.38
2024,9718956.84,0.0,13743.3,108171.3,28914.0,0.0,228140.0,100119.3
2024,9930171.7,0.0,14579.82,113903.64,28507.36,0.0,223903.92,91433.64
2024,4915295.55,0.0,9700.0,36875.0,30000.0,31400.0,73500.0,49200.0
2024,4925053.59,0.0,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024,4948168.58,0.0,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
