,Year/Budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires,,,,,,,,,,,,,,,,
"Project 52: 2 STY 6 CL Baroy, Lanao del Norte","2017: 11,761,387.11",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 56: 4 STY 8 CL Lipa City, Batangas","2017: 17,061,708",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 57: 4 STY 16 CL Mandaue City, Cebu","2017: 26,186,759.94",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",quantity ,1.000,2.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 117: Basay, Negros Oriental","23,310,314.040",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 118: 2x4 SIaton, Negros Oriental","12,408,080.250",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 119: 2x4 Dauin, Negros Oriental","2020: 11.842,000.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
