,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",unit cost,"69,516.160","28,612.640","89,340.160","31,222.800","27,092.800","72,291.520","62,115.200"
"Project 56: 4 STY 8 CL Lipa City, Batangas","2017: 17,061,708",unit cost,"66,225.000","55,000.000","108,000.000","100,000.000","150,408.000","300,970.000","230,000.000"
"Project 57: 4 STY 16 CL Mandaue City, Cebu","2017: 26,186,759.94",unit cost,,"27,328.000",,,,,
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",unit cost,"12,000.240","64,153.910","70,575.120","61,787.610","29,733.230","162,414.490","73,002.640"
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",unit cost,"38,430.000","160,125.000","487,715.130","164,570.070","426,239.940","621,182.520","604,785.720"
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",unit cost,,"37,968.000","63,280.000","25,312.000","35,436.800","107,576.000","161,996.800"
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",unit cost,,"6,854.860","41,433.000","19,425.660","18,712.640","74,466.000","33,371.630"
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",unit cost,"299,651.090","240,000.000","200,000.000","100,000.000","140,000.000","200,000.000","150,000.000"
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",unit cost,"48,699.620","25,000.000","24,381.000","26,100.900","75,000.000","105,000.000","32,635.260"
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",unit cost,"69,381.000","49,413.000","423,475.000","89,297.000","105,768.000","62,855.000","171,652.000"
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",unit cost,"71,529.710","169,489.080","271,582.240","355,777.390","326,879.410","317,915.840","680,602.670"
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",unit cost,,"267,985.910","134,370.710","219,954.530","31,774.750","140,157.100","554,301.310"
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",unit cost,"66,288.600","58,999.500","106,236.900","38,379.600","144,219.600","356,693.400","30,214.800"
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",unit cost,,"60,000.000","410,000.000","101,000.000","75,000.000","130,000.000","200,000.000"
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",unit cost,"121,062.380","181,972.880","839,431.690","235,187.660","249,839.780","414,864.320","493,743.470"
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",unit cost,,"64,632.620","60,763.060","274,115.790","292,849.140","271,838.720","253,652.560"
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",unit cost,,"6,825.000","21,170.630","17,778.930","8,527.310","98,832.560","41,358.190"
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",unit cost,,"40,356.000","40,021.000","31,254.000","61,213.000","94,215.000","100,258.000"
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",unit cost,"174,540.000","63,813.000","71,919.000","122,306.000",,,"342,189.000"
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",unit cost,,"16,949.900","118,362.890","51,727.170","61,049.980","102,950.140","101,101.390"
