Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
2 STY 6 CLS Misamis Oriental,2023,22565635.92,643703.5604999999,95847.6465,0.0,0.0,693667.3396,2617242.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386662.24789999996,0.0,0.0,1875445.7094000003,0.0,0.0,0.0,160797.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 STY 2 CLS Misamis Oriental,2024,6732123.1,106681.1718,16735.0952,0.0,0.0,1255127.0680000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301386.75,0.0,113933.67719999999,0.0,178778.19960000002,0.0,0.0,96687.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Las Navas, Northern Samar",2024,5967992.82,110975.58,0.0,0.0,0.0,1028991.6,424331.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975057.1199999999,0.0,0.0,0.0,0.0,398903.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 STY 12 CLS Consolacion Cebu,2024,24782396.29,390696.9525,143389.3671,0.0,0.0,3365045.492,6628303.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138247.3456,0.0,0.0,4015406.3007000005,0.0,0.0,0.0,720736.8828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Canlaon, Negros Oriental W/ CR",2024,5456718.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 STY 12 CLS Magallanes Sorsogon,2024,62332762.35,599795.5218,91240.98999999999,0.0,0.0,3137301.8858999996,6695001.7256000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4910722.4352,0.0,0.0,0.0,2344324.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 12 CLS Casiguran Sorsogon,2024,62172175.91,599795.5218,91240.98999999999,0.0,0.0,3054821.6999999997,6578260.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800554.52,0.0,0.0,0.0,2288537.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 4 CLS Bacacy/Malilipot Albay,2024,38605670.21,82149.288,6216569.19,0.0,0.0,2408032.4076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414125.8995,0.0,0.0,0.0,0.0,0.0,0.0,1413223.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 STY 2 CLS Dasol Pangasinan,2024,5853469.15,23413.482000000004,14904.185000000001,0.0,0.0,985562.3259999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543998.8542000001,0.0,0.0,0.0,0.0,0.0,0.0,485803.17659999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 STY 16 CLS Dasol Pangasinan,2024,47846905.84,52075.460999999996,3519792.5298,0.0,0.0,4231033.6156,10588551.2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6920166.714999999,0.0,0.0,0.0,0.0,1228012.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
