Budget,Area of formworks (sq.m.),Grade 40,Grade 60,Gross floor area (Cement floor finish),Total_Volume_of_Structural_Concrete
14604194.55,1183031.4300000002,1374201.78,2352633.12,164788.77,0.0
15514088.25,562606.7200000001,983989.3116,1339372.5921,94132.09520000001,0.0
15514440.95,1291491.396,1050912.72,2868576.36,164855.7792,0.0
9611535.48,292830.5896,688873.64,923341.3200000001,114078.86000000002,0.0
9651558.77,195737.172,1053889.2952,798177.2744,68637.90780000002,0.0
9687517.65,145628.68480000002,706623.76,869246.576,139598.82580000002,0.0
9718956.84,98815.3784,602373.9188000001,741844.1272000001,162276.48780000003,0.0
9930171.7,301480.4392,1040118.0,1257796.0648,154567.18760000003,0.0
4915295.55,244593.8,1086905.98,0.0,80550.0,0.0
4948168.58,241672.07679999998,810975.4147000001,0.0,89915.28,0.0
4960678.36,194200.776,864602.9456,0.0,37464.700000000004,0.0
4925053.59,473587.2064,973601.1585,0.0,54620.06,0.0
4942656.33,241243.2,1076652.15,0.0,80550.0,0.0
24959293.13,1370304.583,2922419.4017000003,3384422.9000000004,260609.54100000003,0.0
29456364.98,1312053.3174,2832938.1417,7535730.432,452032.515,0.0
9728874.27,587900.826,1482081.1611000001,0.0,129848.94,0.0
9809368.69,573479.403,1411345.3348,0.0,122527.07999999999,0.0
15600784.32,602997.7772,827099.2999999999,2489433.22,240734.82399999996,0.0
21200658.33,599691.3539999999,1711738.377,5059389.355,100122.50279999999,0.0
61380991.62,1178184.9239999999,3329755.6529999995,7892059.8808,518406.02040000004,0.0
61379478.66,1178184.9239999999,3329755.6529999995,7892059.8808,518419.565,0.0
9748288.86,283683.0304,1194460.8048,1541522.7584000002,22050.0882,0.0
10225396.27,718272.96,802690.42,1979924.04,155246.22,0.0
11643725.83,699073.84,830369.4,2009040.5699999998,152704.8,0.0
17427043.69,1386579.4237,3009077.9546,0.0,181708.1528,0.0
14286556.91,539604.1658999999,1522633.1292,2201487.2855,202809.2026,0.0
22950890.2,904351.261,2369632.9306,3385818.4184,340233.185,0.0
23388848.19,904351.261,2444321.4972,3385818.4184,340233.185,0.0
12120899.92,725244.9,802690.42,2238498.8,155246.22,0.0
11961936.91,681004.08,871887.87,2038157.0999999999,150156.18,0.0
18138493.34,960283.35,947930.28,3391046.25,66145.14,0.0
16204711.8,804890.0390999999,1010137.0604,1892351.8119,78246.8144,0.0
26765713.42,1193721.7185999998,1525945.4896000002,2800784.7868,85427.22,0.0
12013356.38,608742.135,798355.9584,1395070.1358999999,39396.972,0.0
13552545.56,586421.357,771860.4010000001,1395070.1358999999,86053.5488,0.0
11747123.96,1931155.4250000003,0.0,2206044.8896000003,139250.636,0.0
9535693.24,500574.99799999996,809069.3688,2174445.1884000003,191779.9821,0.0
15860831.98,490755.0,1981880.7200000002,3433449.392,182473.6648,0.0
19008987.48,642521.9717,2026823.2836000002,3082987.8289,270990.1264,0.0
13050852.26,446808.74569999997,1436547.8698999998,2047805.334,186074.1396,0.0
20674448.34,715418.2231,2079104.8680000002,3221158.4558999995,298496.3744,0.0
4790554.26,165321.702,1037742.7392,0.0,56397.51,0.0
10500982.26,401183.12130000006,1148289.2496,0.0,148855.2408,0.0
10220155.8,355317.7269,1111048.3388,1576949.5601999997,144693.5812,0.0
10528728.45,386342.8022,1105704.3516,1564428.6671999998,136111.27459999998,0.0
13341965.93,510459.6979,1400187.7396,1962813.2688,195577.9263,0.0
