,Year/Budget,Architectural aspect,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",unit cost,190.670,"1,776.510",311.150,266.430,320.860,692.820,"1,067.710"
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",unit cost,208.530,"1,050.110",337.590,285.260,275.410,"1,103.230","1,170.630"
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",unit cost,329.060,"1,974.340",,,,889.510,"1,063.720"
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",unit cost,252.780,"1,631.490",351.020,298.370,352.370,"1,223.990","1,692.770"
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",unit cost,253.790,"1,605.590",299.110,258.230,234.170,915.000,"1,369.830"
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",unit cost,373.930,"1,998.820",333.590,536.690,99.300,"1,933.420","1,308.190"
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",unit cost,128.000,"1,799.000",231.000,250.000,283.000,"1,022.000","1,435.000"
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",unit cost,257.210,"2,357.410",408.590,498.030,484.330,873.920,"1,227.590"
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",unit cost,233.590,"2,266.530",485.110,444.410,431.880,553.980,851.900
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",unit cost,212.600,"1,479.600",219.500,421.500,419.300,835.800,"1,339.200"
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",unit cost,300.000,"2,300.000",400.000,,,"1,100.000","1,600.000"
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",unit cost,268.500,,454.990,558.740,565.180,910.320,"1,328.250"
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",unit cost,175.050,"1,698.520",363.540,333.030,,638.400,909.710
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",unit cost,236.490,"1,636.530",341.490,298.640,337.280,"1,135.020","1,641.580"
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",unit cost,220.000,"2,100.000",,,378.000,825.000,"1,189.000"
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",unit cost,261.000,"2,257.000",387.000,435.000,450.000,850.000,"1,293.000"
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",unit cost,276.970,"1,409.200",348.220,329.680,444.060,991.850,"1,492.730"
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",unit cost,361.800,"2,105.630",392.270,372.450,409.420,,"1,727.290"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,252.890,"1,308.960",335.280,325.290,434.540,"1,029.960","1,410.890"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,252.890,"1,308.960",335.280,325.290,434.540,"1,029.960","1,410.890"
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",unit cost,222.880,"1,546.990",276.040,226.930,328.350,931.870,"1,311.470"
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",unit cost,206.650,"1,857.210",370.710,309.150,311.900,716.270,"1,088.910"
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",unit cost,284.660,"2,750.000",650.000,450.000,375.000,650.000,750.000
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",unit cost,343.170,"1,928.640",445.030,363.610,492.510,,"1,776.570"
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",unit cost,355.130,,445.480,362.600,491.070,,"1,779.710"
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",unit cost,318.990,"1,970.830",445.290,362.830,491.960,,"1,710.520"
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",unit cost,258.450,,,,,949.390,"1,368.570"
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",unit cost,234.320,"2,273.190",486.540,445.710,435.150,854.400,"1,217.490"
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",unit cost,243.250,"2,069.180",377.860,353.990,432.950,833.980,"1,225.900"
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",unit cost,216.410,"1,995.760",382.880,361.750,437.820,792.500,"1,208.670"
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",unit cost,259.510,"2,205.000",326.650,327.600,400.050,"1,264.980","1,446.580"
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",unit cost,299.510,"2,000.220",374.720,353.510,327.260,"1,001.970","1,384.370"
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",unit cost,268.840,"1,958.820",349.970,324.450,412.760,923.750,"1,407.040"
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",unit cost,220.930,"2,033.230",383.210,333.280,411.150,754.860,"1,126.290"
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",unit cost,222.880,"2,043.390",392.150,342.220,404.050,834.620,"1,215.610"
"Project 117: Basay, Negros Oriental","23,310,314.040",unit cost,207.340,"2,055.380",330.960,371.210,389.080,994.410,"1,353.790"
"Project 118: 2x4 SIaton, Negros Oriental","12,408,080.250",unit cost,231.890,"2,268.000",285.790,323.540,377.180,972.280,"1,355.070"
"Project 119: 2x4 Dauin, Negros Oriental","2020: 11.842,000.00",unit cost,222.280,"1,480.890",327.490,322.580,414.940,855.110,"1,284.670"
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",unit cost,199.820,"1,835.830",320.300,294.980,299.180,677.930,"1,052.950"
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",unit cost,241.440,"1,984.930",379.340,361.540,475.140,"1,329.410","1,473.230"
Project 122: 4x8 San Pedro Laguna,"2024: 38,606,000.00",unit cost,261.460,"2,487.730",435.670,525.270,513.690,852.710,"1,191.630"
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",unit cost,354.870,"1,710.930",402.520,447.260,377.400,"1,021.440","1,244.860"
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",unit cost,256.010,"2,413.710",434.640,461.940,456.300,940.450,"1,355.680"
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",unit cost,337.550,"1,510.140",300.890,323.340,350.320,"1,299.070","1,558.890"
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",unit cost,222.040,"1,605.820",332.930,336.660,337.970,966.530,"1,364.180"
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",unit cost,304.140,,,,388.160,"1,144.440","1,647.560"
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",unit cost,238.920,"2,241.020",427.650,556.610,344.650,786.510,"1,164.100"
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",unit cost,240.350,"2,254.510",430.210,560.040,346.720,799.170,"1,179.850"
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",unit cost,314.170,"2,255.480",528.710,492.210,285.520,"1,166.540","1,544.910"
Project 131: 4x8 Quiot Pardo Cebu,"2024: 39,759,647.00",unit cost,260.000,"2,280.000",440.000,460.000,,"1,200.000","1,400.000"
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",unit cost,228.450,"2,210.350",415.260,406.030,480.660,750.750,"1,093.870"
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",unit cost,256.870,"2,470.000",324.620,409.500,348.860,780.000,975.000
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",unit cost,450.220,"2,342.900",167.390,345.500,191.460,"1,681.620","1,590.600"
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",unit cost,137.000,"1,425.000",511.000,517.000,596.000,"1,019.000","1,305.000"
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",unit cost,168.400,"2,148.880",234.540,473.830,312.810,"1,684.690","1,062.360"
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",unit cost,241.520,"3,209.630",157.350,170.140,172.080,"2,098.430","2,139.770"
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",unit cost,306.880,"1,769.820",310.190,575.030,447.060,"1,570.550","2,531.220"
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",unit cost,298.790,"1,742.270",391.900,480.060,398.780,"2,031.210","2,385.410"
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",unit cost,290.000,"2,400.000",440.000,400.000,430.000,"1,050.000","1,630.000"
"Project 146: 1x2 La Corlota, Negros Occidnetal","2024: 4,925,053.59",unit cost,409.680,"1,672.630",403.820,419.170,186.710,"1,539.640","1,714.660"
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",unit cost,669.760,"1,658.000",341.210,"2,158.800",396.120,"5,361.190","2,542.250"
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",unit cost,669.760,"1,655.420",341.210,"2,158.800",396.120,"5,361.190","2,542.250"
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",unit cost,209.300,991.760,185.300,"1,028.010",174.640,"3,035.720",881.660
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",unit cost,669.760,"1,623.220",341.210,"2,158.800",396.120,"5,361.190","2,542.250"
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",unit cost,409.680,"1,672.630",403.820,419.170,186.710,"1,539.640","1,714.660"
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",unit cost,300.000,"2,100.000",440.000,380.000,400.000,"1,150.000","1,350.000"
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",unit cost,233.810,"2,060.520",378.530,354.720,433.640,819.310,"1,211.460"
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",unit cost,219.010,"1,992.320",379.610,354.100,427.380,786.310,"1,195.290"
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",unit cost,228.630,"1,986.800",450.830,431.610,411.120,803.240,"1,163.600"
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",unit cost,219.350,"2,033.650",393.670,426.820,472.610,798.850,"1,209.440"
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",unit cost,308.910,401.500,567.360,501.110,290.930,"1,131.870","1,564.110"
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",unit cost,316.070,"1,320.660",398.470,467.710,212.760,"1,939.300","2,237.990"
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",unit cost,330.000,"2,155.040",406.090,368.210,946.230,"1,274.420","1,287.240"
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",unit cost,330.000,"2,155.040",406.090,368.210,946.230,"1,274.420","1,287.240"
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",unit cost,235.490,"1,325.540",389.820,240.970,377.630,"1,380.540","1,793.360"
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",unit cost,225.000,"1,320.000",325.000,283.000,309.000,823.000,"1,202.000"
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",unit cost,205.000,"1,368.000",327.000,306.000,303.000,856.000,"1,248.000"
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",unit cost,244.390,"2,247.480",387.070,378.010,437.500,"3,353.270","1,305.720"
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",unit cost,203.290,"1,941.510",326.320,329.890,385.700,630.710,954.090
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",unit cost,198.900,"1,905.900",320.710,320.440,376.700,633.080,937.830
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",unit cost,198.870,"1,905.900",320.810,320.440,377.030,633.080,939.250
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",unit cost,225.000,"1,320.000",325.000,283.000,309.000,823.000,"1,202.000"
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",unit cost,209.000,"1,363.000",325.000,305.000,348.000,868.000,"1,312.000"
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",unit cost,207.000,"1,310.000",319.000,306.000,313.000,876.000,"1,296.000"
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",unit cost,203.540,"1,881.890",321.520,303.950,301.520,696.790,"1,064.770"
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",unit cost,198.060,"1,843.860",329.650,288.350,301.710,675.250,"1,072.640"
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",unit cost,201.200,"1,872.190",346.270,302.440,305.420,682.240,"1,059.560"
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",unit cost,199.790,"1,872.190",344.400,302.400,308.270,682.020,"1,050.610"
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",unit cost,202.480,"1,959.520",375.010,327.260,387.000,683.480,"1,037.230"
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",unit cost,202.380,,,,381.050,691.330,"1,075.340"
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",unit cost,494.890,986.620,359.350,378.180,239.390,624.770,657.240
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",unit cost,193.110,"1,863.970",312.580,317.350,342.210,653.160,963.850
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",unit cost,194.400,"1,880.930",312.720,320.420,341.720,647.160,956.660
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",unit cost,191.580,"1,840.850",331.010,331.810,373.760,639.110,"1,013.060"
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",unit cost,198.960,"1,947.580",305.420,310.700,231.880,694.500,957.250
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",unit cost,193.820,"1,912.680",304.550,312.580,318.360,651.480,996.310
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",unit cost,189.320,"1,805.670",314.350,314.480,347.990,641.170,991.160
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",unit cost,184.730,"1,863.400",306.200,308.460,345.580,633.960,959.220
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",unit cost,188.970,"1,911.220",319.850,319.760,365.310,636.450,"1,029.650"
