,Year/Budget,Architectural aspect,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",quantity ,"6,033.000",305.000,"6,514.000",368.000,368.700,96.000,"1,718.000"
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",quantity ,"3,172.830",71.280,0.000,0.000,0.000,315.440,834.770
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",quantity ,493.510,17.100,592.870,65.490,263.810,38.430,183.900
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",quantity ,"4,249.630",200.700,"4,626.370",242.580,149.580,344.570,929.610
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",quantity ,"1,005.000",36.300,"1,572.000",68.650,677.600,102.000,359.000
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811.00",quantity ,"2,398.340",79.860,"2,529.600",140.380,73.600,178.820,470.730
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",quantity ,"3,622.320","1,035.000","3,520.000",413.000,373.000,80.000,"1,113.000"
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",quantity ,"4,500.700",151.080,"4,500.700",75.280,115.230,19.220,"1,155.070"
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",quantity ,627.090,288.000,627.090,82.920,116.120,56.630,256.920
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",quantity ,"2,666.000",83.400,"2,666.000",0.000,0.000,257.800,294.500
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",quantity ,"5,051.030",0.000,"6,324.090",187.840,477.360,470.530,"1,022.320"
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",quantity ,"1,780.770",302.160,"1,750.870",117.680,0.000,19.220,934.910
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",quantity ,268.980,35.040,423.740,21.030,173.830,29.030,124.110
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",quantity ,648.000,41.000,0.000,0.000,430.000,30.000,294.000
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",quantity ,945.000,328.000,"1,708.000",28.000,830.000,108.000,411.000
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",quantity ,673.820,52.000,673.820,589.500,810.300,86.440,252.500
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",quantity ,813.350,48.040,"1,254.410",33.600,654.810,0.000,386.930
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,864.700,90.935,"1,645.840",70.560,120.000,110.000,455.050
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,864.700,90.935,"1,645.840",70.560,120.000,110.000,455.050
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",quantity ,907.500,86.480,"1,608.120",34.020,392.140,90.900,377.800
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",quantity ,"5,548.790",264.900,"5,980.620",271.120,135.090,367.300,"1,130.940"
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",quantity ,"1,074.460",163.000,"1,379.890",95.170,733.780,93.160,473.260
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",quantity ,406.000,6.000,513.000,42.000,25.000,0.000,203.000
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",quantity ,406.000,0.000,513.000,42.000,25.000,0.000,203.000
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",quantity ,406.000,6.000,513.000,42.000,25.000,0.000,203.000
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",quantity ,382.470,0.000,0.000,0.000,0.000,46.200,127.650
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",quantity ,"2,969.130",99.300,"2,969.130",351.500,394.230,47.290,"1,644.900"
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",quantity ,"1,492.810",73.150,"1,492.810",429.880,"1,132.490",236.680,335.970
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",quantity ,"3,231.900",238.370,"3,767.240",338.490,133.310,304.470,776.820
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",quantity ,"1,250.000",75.630,"1,800.000",100.000,100.000,167.000,395.000
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",quantity ,"1,593.080",86.480,"2,289.850",62.700,681.960,83.810,488.640
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",quantity ,925.350,9.700,"1,335.650",136.650,708.200,32.350,445.100
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",quantity ,224.900,56.240,"1,562.960",556.240,188.700,12.150,100.300
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",quantity ,"2,677.250",123.430,"3,729.660",189.830,99.910,147.300,765.790
"Project 117: Basay, Negros Oriental","23,310,314.040",quantity ,"2,113.100",105.800,"2,113.100",100.000,168.700,263.560,792.990
"Project 118: 2x4 SIaton, Negros Oriental","12,408,080.250",quantity ,`1202.45,75.630,"1,710.000",93.000,84.350,146.180,381.420
"Project 119: 2x4 Dauin, Negros Oriental","2020: 11.842,000.00",quantity ,`1202.46,75.630,"1,710.000",93.000,84.350,146.180,381.420
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",quantity ,"7,295.560",331.350,"8,006.920",163.600,577.390,111.980,"1,871.540"
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",quantity ,"6,033.000",305.000,"6,514.000",368.000,368.700,96.000,"1,718.000"
Project 122: 4x8 San Pedro Laguna,"2024: 38,606,000.00",quantity ,"2,949.440",931.000,"3,717.000",413.000,361.000,80.000,"1,140.000"
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",quantity ,"1,464.540",54.100,"1,926.020",84.900,519.000,32.100,513.500
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",quantity ,"1,258.650",41.440,"1,258.650","1,456.200",942.000,228.240,401.090
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",quantity ,"1,078.600",54.100,"1,540.080",36.000,215.200,32.100,507.200
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",quantity ,"1,451.940",53.800,"1,913.420",84.900,519.000,32.100,507.200
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",quantity ,353.470,0.000,0.000,0.000,327.580,46.330,134.530
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",quantity ,"3,648.060",73.550,"3,648.060",75.810,"1,484.350",139.080,"1,051.450"
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",quantity ,969.810,253.110,969.810,367.980,502.310,29.760,360.490
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",quantity ,"6,360.020",200.910,"5,300.300",145.380,"1,002.600",580.110,"1,205.360"
Project 131: 4x8 Quiot Pardo Cebu,"2024: 39,759,647.00",quantity ,"4,313.000",218.000,"4,584.000",31.000,0.000,613.000,877.000
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",quantity ,"1,397.000",91.000,"1,397.000",265.000,357.000,127.000,556.000
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",quantity ,"2,016.020",82.210,"2,130.000",80.540,751.770,109.660,340.400
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",quantity ,"1,813.020",86.150,"1,881.340",62.300,437.890,179.580,455.230
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",quantity ,352.620,52.730,"1,052.490",45.790,838.550,116.590,168.500
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",quantity ,352.620,52.730,"1,052.490",45.790,843.200,116.590,168.500
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",quantity ,352.620,52.730,"1,052.490",45.790,831.770,116.590,168.500
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",quantity ,352.620,52.730,"1,052.490",45.790,843.200,116.590,168.500
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",quantity ,352.620,52.730,"1,052.490",45.790,831.770,116.590,168.500
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
"Project 146: 1x2 La Corlota, Negros Occidnetal","2024: 4,925,053.59",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",quantity ,354.990,12.900,573.020,14.850,203.810,28.420,171.240
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",quantity ,"2,106.230",122.720,"2,433.200",675.380,923.840,328.040,458.370
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",quantity ,"3,231.900",238.370,"3,767.240",338.490,133.310,304.470,776.820
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",quantity ,"1,206.200",35.660,"1,206.200",62.560,718.510,12.450,377.800
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",quantity ,"1,206.200",35.660,"1,206.200",62.560,718.510,12.450,377.800
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",quantity ,"1,848.500",86.150,"1,841.600",62.300,437.890,196.380,455.230
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",quantity ,"1,870.370",82.130,"1,880.230",360.290,618.220,48.010,442.140
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",quantity ,"6,207.680",410.520,"6,207.680",843.060,168.870,494.010,"1,555.140"
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",quantity ,"6,207.680",410.520,"6,207.680",843.060,168.870,494.010,"1,555.140"
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",quantity ,352.620,52.730,863.490,45.790,839.930,116.590,168.500
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",quantity ,"1,730.890",71.550,"1,477.530",104.490,448.190,25.000,399.980
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",quantity ,"1,730.890",71.550,"1,894.520",104.490,448.190,25.000,399.980
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",quantity ,"1,420.570",53.730,"1,420.570",343.890,212.330,67.690,544.190
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",quantity ,"1,523.250",104.200,"2,126.630",165.420,"1,421.220",244.560,429.130
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",quantity ,"2,472.000",202.480,"3,494.160",255.000,"2,522.680",419.580,553.900
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",quantity ,"2,498.220",202.480,"3,520.380",255.000,"2,537.980",419.580,586.350
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",quantity ,"2,029.990",71.550,"2,196.710",104.490,448.190,25.000,483.960
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",quantity ,"1,730.890",71.550,"1,894.520",104.490,448.190,25.000,399.980
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",quantity ,"2,596.460",75.010,"2,672.610",124.130,650.330,67.410,630.600
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",quantity ,"2,147.500",95.080,"2,527.660",50.160,289.590,59.900,592.910
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",quantity ,"3,308.110",190.160,"3,864.320",52.000,340.780,62.370,965.230
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",quantity ,"1,793.480",95.080,"2,071.580",114.980,81.410,45.950,509.010
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",quantity ,"1,675.410",95.080,"1,953.510",26.000,170.390,32.560,488.350
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",quantity ,"1,613.820",54.410,"2,386.860",159.490,201.080,197.900,526.630
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",quantity ,"1,783.220",0.000,0.000,0.000,70.140,25.000,399.980
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",quantity ,"1,370.000",68.200,"1,454.880",96.000,57.000,46.400,638.200
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",quantity ,"2,203.540",202.480,"3,034.900",222.600,"2,052.340",438.100,569.220
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",quantity ,"1,472.150",104.200,"2,075.530",165.420,"1,416.920",212.740,365.850
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",quantity ,"2,203.540",202.480,"3,034.900",222.600,"2,052.340",438.100,569.220
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",quantity ,492.330,29.540,710.360,74.180,563.620,24.840,148.410
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",quantity ,"1,130.190",104.200,"1,542.770",133.020,"1,030.200",174.240,293.250
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",quantity ,"1,130.190",104.200,"1,542.770",133.020,"1,030.200",174.240,293.250
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",quantity ,"1,130.190",104.200,"1,542.770",133.020,"1,030.200",174.240,293.250
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",quantity ,"1,472.150",104.200,"2,075.530",165.420,"1,416.920",212.740,365.850
