Year,Budget,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
2024,38606000.0,771160.5824,2316076.63,1619385.3900000001,216936.50999999998,185442.09000000003,68216.8,1358458.2000000002
2024,15435664.91,519721.3098,92561.31300000001,775261.5704,37972.374,195870.59999999998,32788.224,639235.61
2024,28962172.55,322226.9865,100024.1424,547059.636,672677.028,429834.60000000003,214648.30800000002,543749.6912
2024,14859476.05,364081.43,81698.57400000001,463394.6712,11640.24,75388.864,41700.147,790669.008
2024,15500399.65,322388.7576,86393.116,637034.9206000001,28582.434000000005,175406.43000000002,31025.613,691912.096
2024,5850335.9,107504.3658,0.0,0.0,0.0,127153.4528,53021.9052,221646.2468
2024,18740697.35,871594.4951999999,164827.02099999998,1560092.859,42196.604100000004,511581.2274999999,109387.8108,1223992.945
2024,10979055.79,233093.83349999998,570639.0261000001,417221.96009999997,206083.5192,174160.92320000002,23783.2992,425324.12649999995
2024,39696137.55,1998127.4834000003,453148.4868,2802321.6130000004,71557.4898,286262.352,676721.5194,1862172.7175999999
2024,39759647.0,1121380.0,497040.0,2016960.0,14260.0,0.0,735600.0,1227800.0
2024,14604194.55,319144.64999999997,201141.85,580118.22,107597.95,171595.62,95345.25,608191.72
2024,15514088.25,517855.0574,203058.69999999998,691440.6,32981.130000000005,262262.4822,85534.8,331890.0
2024,15514440.95,816257.8644000001,201840.83500000002,314917.50259999995,21524.649999999998,83838.4194,301985.3196,724088.838
2024,9611535.48,48308.94,75140.25,537822.39,23673.43,499775.8,118805.21,219892.5
2024,9651558.77,59381.208000000006,113310.4424,246851.0046,21696.6757,263761.392,196418.00710000002,179007.65999999997
2024,9687517.65,85164.78240000001,169243.7899,165609.3015,7790.710599999999,143130.9816,244655.95369999998,360551.245
2024,9718956.84,108212.0256,93322.60859999999,326471.8731,26330.623699999996,376960.992,183110.4245,426510.56999999995
2024,9930171.7,105359.3298,91869.89709999999,412470.831,21981.9474,331693.24059999996,236818.7739,401941.58499999996
2024,4915295.55,102947.1,30960.0,252128.8,5940.0,87638.3,29841.0,279121.2
2024,4925053.59,145432.3032,21576.927000000003,231396.93639999998,6224.6745,38053.3651,43756.56880000001,293618.37840000005
2024,4948168.58,237758.1024,21388.2,195520.1542,32058.18,80733.2172,152365.0198,435334.89
2024,4947465.01,237758.1024,21354.918,195520.1542,32058.18,80733.2172,152365.0198,435334.89
2024,4960678.36,74299.407,12793.704,106180.606,15265.948499999999,35593.378399999994,86275.1624,150975.4584
2024,4949269.88,237758.1024,20939.538,195520.1542,32058.18,80733.2172,152365.0198,435334.89
2024,4942656.33,106497.0,27090.0,252128.8,5643.0,81524.0,32683.000000000004,231174.0
2023,24959293.13,492457.6363,252867.0144,921039.1959999999,239570.7936,400613.9776,268766.4524,555296.9202
2023,29456364.98,707818.419,474909.3184,1430081.9764,119859.30900000001,56974.0278,239407.8057,928525.1778000001
2023,9728874.27,275773.506,70849.28799999999,543791.146,27001.5216,295393.8312,10000.338,439608.07999999996
2023,9809368.69,264579.97000000003,72519.959,474844.754,26701.8592,339575.0111,9945.682499999999,456926.43200000003
2024,15600784.32,571020.135,34589.225000000006,1044850.176,31219.153,127395.3377,222276.63059999997,712029.7953
2024,21200658.33,591167.8459,108465.8058,749215.2481000001,168511.2359,131532.4872,93105.79299999999,989504.8985999998
2024,61380991.62,2048534.4000000001,884687.0207999999,2520876.7712,310423.12259999994,159789.86010000002,629576.2242,2001838.4136
2024,9748288.86,83038.4838,69895.7242,336605.6718,11034.0163,317182.7659,160957.1586,302181.16
2020,10225396.27,389450.25,94446.0,480197.25,29570.67,138490.71,20575.0,480775.96
2020,11643725.83,354832.45,97880.4,619508.04,31973.94,135801.57,21400.0,499175.04000000004
2020,17427043.69,347173.10229999997,120757.1004,549860.0299,129993.85889999999,92894.375,226982.8463,710559.7668000001
2020,14286556.91,309661.4925,202305.342,693961.9016,54570.40379999999,548164.554,154246.4376,409428.64170000004
2020,22950890.2,491680.8,385906.632,1120612.0536,81712.2,950293.5559999999,265627.7064,519464.037
2020,23388848.19,496821.01139999996,385906.632,1129373.1078,81712.2,956894.5994,265627.7064,550729.2375
2020,12120899.92,456747.75,94446.0,713930.75,29570.67,138490.71,20575.0,581719.9199999999
2020,11961936.91,361756.01,97522.65,615719.0,31869.449999999997,155970.12,21700.0,524773.76
2020,18138493.34,537467.22,98263.1,852562.5900000001,37983.78,203553.29,59051.159999999996,817257.6
2020,16204711.8,437102.14999999997,178930.1012,812693.2431999999,15246.131999999998,87317.17679999999,41737.721,631312.7807
2020,26765713.42,655204.2666000001,350628.4176,1273873.088,14994.2,102816.73379999999,42115.3425,1035344.3072000002
2020,12013356.38,360848.176,178007.8252,717326.0066,34774.5512,24864.2422,31348.928000000004,539326.6355999999
2020,13552545.56,334730.1639,178007.8252,672788.8439999999,7862.4,52526.12529999999,22206.571200000002,513065.39349999995
2019,11747123.96,326766.27359999996,106617.48319999999,895096.3686,52194.697400000005,77817.96,135260.692,546236.4349
2019,9535693.24,360888.0636,0.0,0.0,0.0,26726.847,17283.25,430114.49319999997
2019,15860831.98,677999.2999999999,67287.484,522811.1280000001,36305.28,13645.23,28989.327999999998,419450.568
2019,19008987.48,425525.6094,377416.6456,948649.042,70642.11,702331.2714,286149.396,548642.697
2019,13050852.26,286185.96,195992.90600000002,649059.7416000001,53003.8764,484189.9024000001,137676.8184,349994.061
2019,20674448.34,422154.19320000004,372735.30799999996,1004582.249,73860.906,767082.5984,279994.091,576654.0132
2019,4790554.26,97953.9768,57531.513199999994,216958.15120000002,23047.726000000002,130692.2056,17251.38,142065.4725
2019,10500982.26,219053.4258,199301.25600000002,469850.6035,41579.3916,327974.472,113513.87520000001,292167.9075
2019,10220155.8,213967.57080000002,188150.814,484969.74950000003,41832.12960000001,358499.298,111717.4608,290657.67
2019,10528728.45,208779.9987,194166.28000000003,472396.174,41031.3492,356016.516,110461.1904,281291.265
2019,13341965.93,278192.1855,199149.124,663858.2705000001,52894.699199999995,517615.04520000005,135398.37300000002,376697.4525000001
